Title,IMDb Rating,Year,Certificates,Director,Star Cast,MetaScore,Duration (minutes),Poster-src,Genres
Patton,7.9,1970,PG,Franklin J. Schaffner,"Francis Ford,Coppola Edmund,H.,North Ladislas,Farago",86,172,"https://m.media-amazon.com/images/M/MV5BZmRlMWFhMzMtNTJiNi00ZDdlLTgxMmYtOWVjOGUxNTFhYzU3XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,6,190,281_.jpg",Biography
La Bamba,6.9,1987,PG-13,Luis Valdez,"Lou Diamond,Phillips Esai,Morales Rosanna,De Soto",65,108,"https://m.media-amazon.com/images/M/MV5BODk2YzI1OTEtZDRjNC00OWJiLWJlODYtY2Q0YmM0MDI2OTFjXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX190_CR0,1,190,281_.jpg",Biography
The Straight Story,8,1999,G,David Lynch,"Richard Farnsworth,Sissy Spacek,Jane Galloway,Heitz",86,112,"https://m.media-amazon.com/images/M/MV5BM2UxYTMwMWUtOGM1OS00MDI4LWFhNTUtOTA4NWI2ZjEwNmMxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
The World's Fastest Indian,7.8,2005,PG-13,Roger Donaldson,"Anthony Hopkins,Diane Ladd,Iain Rea",68,127,"https://m.media-amazon.com/images/M/MV5BYzMyMjU5NmYtNDdiMS00MWU1LTgwZTQtZDA1YWI1OTBiZTE2XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
Boys Don't Cry,7.5,1999,R,Kimberly Peirce,"Hilary Swank,Chloë Sevigny,Peter Sarsgaard",86,118,"https://m.media-amazon.com/images/M/MV5BZjljNjI3YzUtMDNlNS00MjE5LThhYzktODU4NjJkYzk0ZGY2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Biography
Cinderella Man,8,2005,PG-13,Ron Howard,"Cliff Hollingsworth,Akiva Goldsman",69,144,"https://m.media-amazon.com/images/M/MV5BNTkyMmZmNTYtMTE3MS00NmZlLWIyOGQtZGU2Y2YyMjBlZmI0XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Escape from Alcatraz,7.6,1979,PG,Don Siegel,"Clint Eastwood,Patrick Mc,Goohan Roberts,Blossom",76,112,"https://m.media-amazon.com/images/M/MV5BMzI0NTIzM2QtZDBkZC00N2JjLWI5OGMtMzg2YjFjODI2ZTkwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg",Action
Patch Adams,6.8,1998,PG-13,Tom Shadyac,"Robin Williams,Daniel London,Monica Potter",26,115,"https://m.media-amazon.com/images/M/MV5BNzM4Y2FlNzYtZmY5Yy00NzU4LTk1ODItY2NjYWYzYzUyZGM3L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg",Biography
Mommie Dearest,6.6,1981,R,Frank Perry,"Christina Crawford,Frank Yablans,Frank Perry",55,129,"https://m.media-amazon.com/images/M/MV5BYWI0OWEzYmItM2MzNS00NTA5LWExMWQtZWY4NTBmNDE5NTZjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg",Biography
Chariots of Fire,7.1,1981,PG,Hugh Hudson,"Ben Cross,Ian Charleson,Nicholas Farrell",78,125,"https://m.media-amazon.com/images/M/MV5BZjNlNDFmM2ItMDE0Zi00MWNiLTljOWQtZGQ1YTQ2ZWUzZDU2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UY281_CR0,0,190,281_.jpg",Biography
42,7.5,2013,PG-13,Brian Helgeland,"Chadwick Boseman,T.R.,Knight Harrison,Ford",62,128,"https://m.media-amazon.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
On the Basis of Sex,7.1,2018,PG-13,Mimi Leder,"Felicity Jones,Armie Hammer,Justin Theroux",59,120,"https://m.media-amazon.com/images/M/MV5BYzJlYmEwYjEtMmE1Ny00ZjdiLTg2ZjctMmMxYjRhNGJkNTY2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR4,0,190,281_.jpg",Biography
The Glass Castle,7.1,2017,PG-13,Destin Daniel Cretton,"Brie Larson,Woody Harrelson,Naomi Watts",56,127,"https://m.media-amazon.com/images/M/MV5BMTY2Nzk0MDE3Nl5BMl5BanBnXkFtZTgwOTI0ODc0MjI@._V1_QL75_UX190_CR0,6,190,281_.jpg",Biography
Frida,7.3,2002,R,Julie Taymor,"Hayden Herrera,Clancy Sigal,Diane Lake",61,123,"https://m.media-amazon.com/images/M/MV5BMjliMDY0NmQtNWRmNS00NzBkLWFiYTAtNWZmMmMzOWJkMWQ1XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
Lovelace,6.2,2013,R,Rob Epstein,"Amanda Seyfried,Peter Sarsgaard,Sharon Stone",51,93,"https://m.media-amazon.com/images/M/MV5BOTM0Mzc2MjgyN15BMl5BanBnXkFtZTcwOTIzNDQ4OQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Lords of Chaos,6.6,2018,R,Jonas Åkerlund,"Dennis Magnusson,Jonas Åkerlund,Michael Moynihan",48,118,"https://m.media-amazon.com/images/M/MV5BMjUwNDA3MTgwOV5BMl5BanBnXkFtZTgwNTEzMjk5NjM@._V1_QL75_UY281_CR0,0,190,281_.jpg",Biography
Mank,6.8,2020,R,David Fincher,"Gary Oldman,Amanda Seyfried,Lily Collins",79,131,"https://m.media-amazon.com/images/M/MV5BZTllMjI0ZGYtM2FmZC00ZmY4LTlkNTYtZThlOWQ1OGQyZTA3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Freedom Writers,7.6,2007,PG-13,Richard LaGravenese,"Hilary Swank,Imelda Staunton,Patrick Dempsey",64,123,"https://m.media-amazon.com/images/M/MV5BMTFiODQ1NGUtMTBiNy00NWIwLWEyNGEtODkzMzU5YWZkYmUzXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
The Runaways,6.5,2010,R,Floria Sigismondi,"Kristen Stewart,Dakota Fanning,Michael Shannon",65,106,"https://m.media-amazon.com/images/M/MV5BMTI3Nzc2ODI4NV5BMl5BanBnXkFtZTcwMzkxNDMyMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Christiane F.,7.5,1981,R,Uli Edel,"Herman Weigel,Kai Hermann,Horst Rieck",66,138,"https://m.media-amazon.com/images/M/MV5BNTc3ZDhlMWItZDFhZS00YTIzLTk4NTMtNDAyZDMzNzE2MDllXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg",Biography
Steve Jobs,7.2,2015,R,Danny Boyle,"Michael Fassbender,Kate Winslet,Seth Rogen",82,122,"https://m.media-amazon.com/images/M/MV5BMjE0NTA2MTEwOV5BMl5BanBnXkFtZTgwNzg4NzU2NjE@._V1_QL75_UX190_CR0,10,190,281_.jpg",Biography
The Danish Girl,7.1,2015,R,Tom Hooper,"Eddie Redmayne,Alicia Vikander,Amber Heard",66,119,"https://m.media-amazon.com/images/M/MV5BMjA0NjA4NjE2Nl5BMl5BanBnXkFtZTgwNzIxNTY2NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Finding Neverland,7.7,2004,PG,Marc Forster,Johnny Depp,67,106,"https://m.media-amazon.com/images/M/MV5BNTVmZWE4NGItZmI3Ny00Nzk3LWIyMzQtOTBlYjc4Y2MzMWNjXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UY281_CR11,0,190,281_.jpg",Biography
Snowden,7.3,2016,R,Oliver Stone,"Kieran Fitzgerald,Oliver Stone,Luke Harding",58,134,"https://m.media-amazon.com/images/M/MV5BMTg2MzYzNzgzOF5BMl5BanBnXkFtZTgwOTg4NzQ4OTE@._V1_QL75_UX190_CR0,7,190,281_.jpg",Biography
Ed Wood,7.8,1994,R,Tim Burton,"Johnny Depp,Martin Landau,Sarah Jessica,Parker",71,127,"https://m.media-amazon.com/images/M/MV5BNTA5ZjdjNWUtZGUwNy00N2RhLWJiZmItYzFhYjU1NmYxNjY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Ip Man,8,2008,R,Wilson Yip,"Donnie Yen,Simon Yam,Siu-Wong Fan",59,106,"https://m.media-amazon.com/images/M/MV5BNTFmMjM3M2UtOTIyZC00Zjk3LTkzODUtYTdhNGRmNzFhYzcyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,2,190,281_.jpg",Action
Alive,7.1,1993,R,Frank Marshall,"Ethan Hawke,Vincent Spano,Josh Hamilton",56,128,"https://m.media-amazon.com/images/M/MV5BOGU2ZjkzNTAtMGE0NS00N2RmLTg5YWItMDA5NjM4OWJlNWM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,3,190,281_.jpg",Biography
Bernie,6.8,2011,PG-13,Richard Linklater,"Skip Hollandsworth,Richard Linklater",75,104,"https://m.media-amazon.com/images/M/MV5BMTk2NDEwODU5M15BMl5BanBnXkFtZTcwNDMwNzc0Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
I Can Only Imagine,7.3,2018,PG,Andrew Erwin,"John Michael,Finley",30,110,"https://m.media-amazon.com/images/M/MV5BMTRjNDc5NTAtZGJlYS00NTg4LTk2NTEtNGUwY2NiZWM3YTY2XkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_QL75_UX190_CR0,6,190,281_.jpg",Biography
Fighting with My Family,7.1,2019,PG-13,Stephen Merchant,"Dwayne Johnson,Lena Headey,Vince Vaughn",68,108,"https://m.media-amazon.com/images/M/MV5BNWM0NGUxMzUtMjRlZS00OWZlLTlkZDMtMzJhOWVmZDY2ODczXkEyXkFqcGdeQXVyOTQxNzM2MjY@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
Nowhere Boy,7.1,2009,R,Sam Taylor-Johnson,"Aaron Taylor-Johnson, Kristin,Scott Thomas,Anne-Marie Duff",67,98,"https://m.media-amazon.com/images/M/MV5BMTU4ODFmMDMtNjA2OS00ZWNiLWI4OGUtNzA3YTRjZTM2MmY4L2ltYWdlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_QL75_UY281_CR4,0,190,281_.jpg",Biography
Three Identical Strangers,7.6,2018,PG-13,Tim Wardle,"Robert Shafran,Michael Domnitz,Howard Schneider",81,96,"https://m.media-amazon.com/images/M/MV5BMTc0NWM3ZGItMzlmZC00NDRmLWJlZmUtMjkzZjNlYmNhYTc1XkEyXkFqcGdeQXVyNzgxMzYzNjA@._V1_QL75_UX190_CR0,0,190,281_.jpg",Documentary
October Sky,7.8,1999,PG,Joe Johnston,Jake Gyllenhaal,71,108,"https://m.media-amazon.com/images/M/MV5BODcwMGNhNGMtMTU4ZC00M2YxLWI4NTAtN2Q2OGU4NWJhNGViXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Biography
Fire in the Sky,6.5,1993,PG-13,Robert Lieberman,"D.B.,Sweeney Robert,Patrick Craig,Sheffer",42,109,"https://m.media-amazon.com/images/M/MV5BNjI1Yjk3NWUtOGU1My00NjA0LWEwNDQtOTNlMWFmYzE5NzljXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UY281_CR2,0,190,281_.jpg",Biography
Jungle,6.7,2017,R,Greg McLean,"Daniel Radcliffe,Thomas Kretschmann,Alex Russell",48,115,"https://m.media-amazon.com/images/M/MV5BNDE4OTk4MTk0M15BMl5BanBnXkFtZTgwODQ4MTg0MzI@._V1_QL75_UY281_CR5,0,190,281_.jpg",Action
In the Name of the Father,8.1,1993,R,Jim Sheridan,"Daniel,Day-Lewis Pete,Postlethwaite Alison,Crosbie",84,133,"https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,1,190,281_.jpg",Biography
American Me,7.1,1992,R,Edward James Olmos,"Floyd Mutrux,Desmond Nakano",66,125,"https://m.media-amazon.com/images/M/MV5BZjVkM2UwOWMtZTNkZS00NjM5LWI3NzEtZGVjNjQyNzA2ODMwXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
A Million Miles Away,7.3,2023,PG,Alejandra Márquez Abella,"Bettina Gilois,Hernán Jiménez,Alejandra Márquez,Abella",62,121,"https://m.media-amazon.com/images/M/MV5BMmMxYjU3YmItY2NlOS00YmI1LTkxZmUtM2Q1NmE1N2E4MmI5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
"tick, tick... BOOM!",7.5,2021,PG-13,Lin-Manuel Miranda,"Andrew Garfield,Alexandra Shipp,Robin de,Jesus",74,115,"https://m.media-amazon.com/images/M/MV5BZmMyMmE0M2UtN2E2MC00YzVmLTkwODgtOTVhYjVlOTBhY2RjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
The Doors,7.2,1991,R,Oliver Stone,"Val Kilmer,Meg Ryan,Kyle Mac,Lachlan",62,140,"https://m.media-amazon.com/images/M/MV5BYTg3YjA5MGYtYjdiNy00YThjLWJiZDEtN2M1NmE1NTVhMWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
Black Mass,6.9,2015,R,Scott Cooper,"Mark Mallouk,Jez Butterworth,Dick Lehr",68,123,"https://m.media-amazon.com/images/M/MV5BNzg0ODI3NDQxNF5BMl5BanBnXkFtZTgwMzgzNDA0NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
A Dangerous Method,6.4,2011,R,David Cronenberg,"Christopher Hampton,John Kerr",76,99,"https://m.media-amazon.com/images/M/MV5BMTU5Mjk3NjgxMl5BMl5BanBnXkFtZTcwMDM5MjA5Ng@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Lorenzo's Oil,7.3,1992,PG-13,George Miller,"Nick Nolte,Susan Sarandon,Peter Ustinov",80,129,"https://m.media-amazon.com/images/M/MV5BMjIxNDY1MjctODdlMC00Y2QwLTk2ZDQtNzJhNzE3NTRmYzgyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,8,190,281_.jpg",Biography
Never Look Away,7.7,2018,R,Florian Henckel von Donnersmarck,"Tom Schilling,Sebastian Koch,Paula Beer",68,189,"https://m.media-amazon.com/images/M/MV5BMzQ5MTI3MDc5MF5BMl5BanBnXkFtZTgwNTY2NjQ3NjM@._V1_QL75_UX190_CR0,1,190,281_.jpg",Biography
The Good Nurse,6.8,2022,R,Tobias Lindholm,"Eddie Redmayne,Jessica Chastain,Denise Pillott",65,121,"https://m.media-amazon.com/images/M/MV5BOGZhODQ3NDUtMjE1OS00MzEzLWFhY2MtY2U2YjQzYWUyYWQwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Devotion,6.6,2022,PG-13,J.D. Dillard,"Jonathan Majors,Glen Powell,Christina Jackson",66,139,"https://m.media-amazon.com/images/M/MV5BMjI5NGJjMmEtODk4Yy00ZDRjLWE5ZGItMjJiNGM4NTI0NmZkXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_QL75_UY281_CR18,0,190,281_.jpg",Action
The Frozen Ground,6.4,2013,R,Scott Walker,"Nicolas Cage,Vanessa Hudgens,John Cusack",37,105,"https://m.media-amazon.com/images/M/MV5BYzM3Mjc1ZDItMTE1OC00ODk0LWFmZjctYzgxZmYwNzliMTdkXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_QL75_UY281_CR0,0,190,281_.jpg",Biography
Stand and Deliver,7.3,1988,PG,Ramón Menéndez,"Edward James,Olmos Estelle,Harris Mark,Phelan",77,103,"https://m.media-amazon.com/images/M/MV5BOTMwNTZlNWItNzMxYS00MTcxLTg4ODYtNzU1ODI1YzZhMWZhXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UX190_CR0,4,190,281_.jpg",Biography
Lords of Dogtown,7.1,2005,PG-13,Catherine Hardwicke,"Heath Ledger,Emile Hirsch,Victor Rasuk",56,107,"https://m.media-amazon.com/images/M/MV5BNDBhNGJlOTAtM2ExNi00NmEzLWFmZTQtYTZhYTRlNjJjODhmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Father Stu,6.5,2022,PG-13,Rosalind Ross,"Mark Wahlberg,Mel Gibson,Jacki Weaver",40,124,"https://m.media-amazon.com/images/M/MV5BNGYwOTI1MTUtYmY0Mi00OTAxLTkwNDEtOTI5YTkyZTVhN2JiXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_QL75_UY281_CR18,0,190,281_.jpg",Biography
Cherry,6.6,2021,R,Anthony Russo,"Angela,Russo-Otstot Jessica,Goldberg Nico,Walker",44,142,"https://m.media-amazon.com/images/M/MV5BOTZkMzlkYmItZDAyNy00NmZhLWE3MWItMzQyNDhkYzcwMTFmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Bully,6.9,2001,TV-MA,Larry Clark,"Brad Renfro,Nick Stahl,Bijou Phillips",45,108,"https://m.media-amazon.com/images/M/MV5BYTg1MGU5NmEtN2E4MS00Y2Y2LTg3MDUtNjk3NzQxNTdiYTBhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR3,0,190,281_.jpg",Biography
Serpico,7.7,1973,R,Sidney Lumet,"Al Pacino,John Randolph,Jack Kehoe",83,130,"https://m.media-amazon.com/images/M/MV5BOTRkNjg3YzQtNGE3NC00M2U1LTg1ODItNmM3ZjMyOTYzYjEwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg",Biography
Bank of Dave,7.1,2023,PG-13,Chris Foggin,"Joel Fry,Phoebe Dynevor,Rory Kinnear",60,107,"https://m.media-amazon.com/images/M/MV5BNWFlNTM3YWEtMzhjOS00MjQyLTg2NzEtM2NlOTViMzMzYTUyXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_QL75_UY281_CR3,0,190,281_.jpg",Biography
Heavenly Creatures,7.3,1994,R,Peter Jackson,"Melanie Lynskey,Kate Winslet,Sarah Peirse",86,99,"https://m.media-amazon.com/images/M/MV5BZjUwNGIwNDctZmQ1ZC00YTEzLWI3MzQtZGMyODlmZGU4ZDdhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,3,190,281_.jpg",Biography
The Lover,6.8,1992,R,Jean-Jacques Annaud,"Jane March,Tony Ka,Fai Leung,Jeanne Moreau",59,115,"https://m.media-amazon.com/images/M/MV5BYTRhMjZhNzgtNjNkMC00Y2FhLWIxMDEtYjg1M2JiNWIyZmM4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_QL75_UX190_CR0,5,190,281_.jpg",Biography
Spencer,6.6,2021,R,Pablo Larraín,"Kristen Stewart,Timothy Spall,Sally Hawkins",76,117,"https://m.media-amazon.com/images/M/MV5BMTdkZDc4YmQtYzA3My00NzliLThjN2YtMDIwMDkxY2Y4ODdmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_QL75_UY281_CR1,0,190,281_.jpg",Biography
Alpha Dog,6.9,2006,R,Nick Cassavetes,"Emile Hirsch,Justin Timberlake,Anton Yelchin",53,122,"https://m.media-amazon.com/images/M/MV5BMjExODMyNzQzMl5BMl5BanBnXkFtZTYwNzMwNTg3._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
The Edge of Love,6.1,2008,R,John Maybury,"Keira Knightley,Sienna Miller,Matthew Rhys",39,110,"https://m.media-amazon.com/images/M/MV5BOTI3NDNlMmEtMWQyOS00MmEzLTgxOTAtNGU2NzVjMzZiNzQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg",Biography
The Disaster Artist,7.3,2017,R,James Franco,"Scott Neustadter,Michael,H.,Weber Greg,Sestero",76,104,"https://m.media-amazon.com/images/M/MV5BOGNkMzliMGMtMDI5Ni00OTZkLTgyMTYtNzk5ZTY1NjVhYjVmXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Midnight Express,7.5,1978,R,Alan Parker,"Brad Davis,Irene Miracle,Bo Hopkins",59,121,"https://m.media-amazon.com/images/M/MV5BNDU1MjQ0YWMtMWQ2MS00NTdmLTg1MGItNDA5NTNkNTRhOTIyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,5,190,281_.jpg",Biography
Adrift,6.6,2018,PG-13,Baltasar Kormákur,"Aaron Kandell,Jordan Kandell,David Branson,Smith",56,96,"https://m.media-amazon.com/images/M/MV5BMTkxMTI2MjE4OF5BMl5BanBnXkFtZTgwMjIyODQzNTM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Action
The Iceman,6.8,2012,R,Ariel Vromen,"Morgan Land,Ariel Vromen,Anthony Bruno",60,106,"https://m.media-amazon.com/images/M/MV5BNDQyMjM5MTc2OF5BMl5BanBnXkFtZTgwMzg1NTMxMjE@._V1_QL75_UY281_CR1,0,190,281_.jpg",Biography
Born on the Fourth of July,7.2,1989,R,Oliver Stone,"Ron Kovic,Oliver Stone",75,145,"https://m.media-amazon.com/images/M/MV5BMTgwNDk5NTA0NF5BMl5BanBnXkFtZTgwMTkyMDUxMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Only the Brave,7.6,2017,PG-13,Joseph Kosinski,"Josh Brolin,Miles Teller,Jeff Bridges",72,134,"https://m.media-amazon.com/images/M/MV5BYWFlOWI3YTMtYTk3NS00YWQ2LTlmYTMtZjk0ZDk4Y2NjODI0XkEyXkFqcGdeQXVyNTQxNTQ4Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Action
Butch Cassidy and the Sundance Kid,8,1969,PG,George Roy Hill,"Paul Newman,Robert Redford,Katharine Ross",66,110,"https://m.media-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Sully,7.4,2016,PG-13,Clint Eastwood,"Tom Hanks,Aaron Eckhart,Laura Linney",74,96,"https://m.media-amazon.com/images/M/MV5BY2NmZDAwM2QtZmFiMS00OTJlLTgxMTItZDMyZmVhYjE1MDY3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
Captain Phillips,7.8,2013,PG-13,Paul Greengrass,"Tom Hanks,Barkhad Abdi,Barkhad Abdirahman",82,134,"https://m.media-amazon.com/images/M/MV5BODhiZWRhMjctNDUyMS00NmUwLTgwYmItMjJhOWNkZWQ3ZTQxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",Action
Unbroken,7.2,2014,PG-13,Angelina Jolie,"Joel Coen,Ethan Coen,Richard La,Gravenese",59,137,"https://m.media-amazon.com/images/M/MV5BMTY3ODg2OTgyOF5BMl5BanBnXkFtZTgwODk1OTAwMzE@._V1_QL75_UX190_CR0,10,190,281_.jpg",Action
Bonnie and Clyde,7.7,1967,R,Arthur Penn,"Warren Beatty,Faye Dunaway,Michael,J.,Pollard",86,111,"https://m.media-amazon.com/images/M/MV5BMTNjNzBlY2QtNmY1Ni00MzhkLThmODgtMzc3ZDQ0YzJjZjNlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg",Action
The Elephant Man,8.2,1980,PG,David Lynch,"Christopher De,Vore Eric,Bergren David,Lynch",78,124,"https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg",Biography
The Blind Side,7.6,2009,PG-13,John Lee Hancock,"Quinton Aaron,Sandra Bullock,Tim Mc,Graw",53,129,"https://m.media-amazon.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_QL75_UX190_CR0,1,190,281_.jpg",Biography
Dog Day Afternoon,8,1975,R,Sidney Lumet,"Frank Pierson,P.F.,Kluge Thomas,Moore",86,125,"https://m.media-amazon.com/images/M/MV5BODExZmE2ZWItYTIzOC00MzI1LTgyNTktMDBhNmFhY2Y4OTQ3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
"Good Morning, Vietnam",7.3,1987,R,Barry Levinson,"Robin Williams,Forest Whitaker,Tom,T.,Tran",67,121,"https://m.media-amazon.com/images/M/MV5BOWRhZGQ5ODQtMzUzNi00M2I4LThmZmUtYmQ0NDQzMTkxMWQ0XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Awakenings,7.8,1990,PG-13,Penny Marshall,"Robert De,Niro Robin,Williams Julie,Kavner",74,121,"https://m.media-amazon.com/images/M/MV5BMWUxOTk2NzUtZDBjYi00MzIwLWFlODYtZjFmNDM5MjlkYjJjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Biography
Donnie Brasco,7.7,1997,R,Mike Newell,"Al Pacino,Johnny Depp,Michael Madsen",77,127,"https://m.media-amazon.com/images/M/MV5BYzMzMDZkYWEtODIzNS00YjI3LTkxNTktOWEyZGM3ZWI2MWM4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
Jarhead,7,2005,R,Sam Mendes,"Jake Gyllenhaal,Jamie Foxx,Lucas Black",58,125,"https://m.media-amazon.com/images/M/MV5BYmMyNGM4NWItYjgwYS00N2Q2LWJmY2YtY2ViNWYwMzRhODlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg",Biography
127 Hours,7.5,2010,R,Danny Boyle,"James Franco,Amber Tamblyn,Kate Mara",82,94,"https://m.media-amazon.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Jersey Boys,6.8,2014,R,Clint Eastwood,"Marshall Brickman,Rick Elice",54,134,"https://m.media-amazon.com/images/M/MV5BMjIyMjA2OTM0NF5BMl5BanBnXkFtZTgwMzY2MTI2MTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
