Title,IMDb Rating,Year,Certificates,Director,Star Cast,MetaScore,Duration (minutes),Poster-src,Genres
Barbie,6.8,2023,PG-13,Greta Gerwig,"Margot Robbie,Ryan Gosling,Issa Rae",80,114,No Poster Available,Adventure
Argylle,5.7,2024,PG-13,Matthew Vaughn,"Henry Cavill,Bryce Dallas,Howard Sam,Rockwell",35,139,No Poster Available,Action
American Fiction,7.5,2023,R,Cord Jefferson,"Jeffrey Wright,Tracee Ellis,Ross John,Ortiz",81,117,No Poster Available,Comedy
Bullet Train,7.3,2022,R,David Leitch,"Brad Pitt,Joey King,Aaron Taylor-Johnson",49,127,No Poster Available,Action
Once Upon a Time... in Hollywood,7.6,2019,R,Quentin Tarantino,"Leonardo Di,Caprio Brad,Pitt Margot,Robbie",84,161,No Poster Available,Comedy
Beverly Hills Cop: Axel F,7.1,2024,R,Mark Molloy,"Will Beall,Tom Gormican,Kevin Etten",66.9,115,No Poster Available,Action
Inside Out 2,7.9,2024,PG,Kelsey Mann,Amy Poehler,73,96,"https://m.media-amazon.com/images/M/MV5BYTc1MDQ3NjAtOWEzMi00YzE1LWI2OWUtNjQ0OWJkMzI3MDhmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
Bad Boys: Ride or Die,6.9,2024,R,Adil El Arbi,"Will Smith,Martin Lawrence,Vanessa Hudgens",66,116.3,No Poster Available,Action
Beetlejuice,7.5,1988,PG,Tim Burton,"Michael Mc,Dowell Larry,Wilson Warren,Skaaren",71,92,No Poster Available,Comedy
Hit Man,7.4,2023,R,Richard Linklater,"Adria Arjona,Glen Powell,Retta",83,115,No Poster Available,Action
Laapataa Ladies,8.5,2023,R,Kiran Rao,"Nitanshi Goel,Pratibha Ranta,Sparsh Shrivastava",66.9,116.3,No Poster Available,Comedy
Ghostbusters: Frozen Empire,6.2,2024,PG-13,Gil Kenan,"Gil Kenan,Jason Reitman,Ivan Reitman",46,115,No Poster Available,Adventure
A Simple Favor,6.8,2018,R,Paul Feig,"Anna Kendrick,Blake Lively,Henry Golding",67,117,No Poster Available,Comedy
Poor Things,7.9,2023,R,Yorgos Lanthimos,"Emma Stone,Mark Ruffalo,Willem Dafoe",88,141,No Poster Available,Comedy
Thelma the Unicorn,5.8,2024,PG,Jared Hess,Brittany Howard,64,93,"https://m.media-amazon.com/images/M/MV5BZmI0OTU4M2MtYmNhZi00MjM1LWJmMmUtYmQzN2E3YTQ3YjZhXkEyXkFqcGdeQXVyMTE2NDA4MDMy._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
Unfrosted,5.5,2024,PG-13,Jerry Seinfeld,"Jerry Seinfeld,Spike Feresten,Andy Robin",42,97,No Poster Available,Biography
Emilia Perez,7.2,2024,R,Jacques Audiard,"Jacques Audiard,Thomas Bidegain,Nicolas Livecchi",70,116.3,No Poster Available,Comedy
Anyone But You,6.1,2023,R,Will Gluck,"Ilana Wolpert,Will Gluck",52,103,No Poster Available,Comedy
Deadpool & Wolverine,7.1,2024,R,Shawn Levy,"Shawn Levy,Rhett Reese,Ryan Reynolds",66.9,116.3,No Poster Available,Action
The Garfield Movie,5.8,2024,PG,Mark Dindal,Chris Pratt,31,101,"https://m.media-amazon.com/images/M/MV5BZDdlNTIwNjYtNzVhNS00MGVmLTk1ZGYtZmZiMjhiMmQ1ZjkwXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX190_CR0,2,190,281_.jpg",Animation
